"gene","coef","gene_symbol","fold"
"ENSG00000133101",0.441452510964281,"CCNA1",1
"ENSG00000170323",-0.357134894360438,"FABP4",1
"ENSG00000197903",0.23814694945943,"H2BC12",1
"ENSG00000175073",0.329230871776283,"VCPIP1",2
"ENSG00000185897",0.153042057970879,"FFAR3",2
"ENSG00000163735",-0.139392060709741,"CXCL5",2
"ENSG00000260257",-0.411604843045721,"AL035071.1",3
"ENSG00000133101",0.367415033063377,"CCNA1",3
"ENSG00000266490",-0.360023285005612,"AC127024.5",3
"ENSG00000170323",-0.412632421514303,"FABP4",4
"ENSG00000128606",-0.336633147928774,"LRRC17",4
"ENSG00000064270",-0.30677569715118,"ATP2C2",4
"ENSG00000006282",-0.484007109489504,"SPATA20",5
"ENSG00000170323",-0.316614556168224,"FABP4",5
"ENSG00000185507",0.171287861862611,"IRF7",5
