"protein","coef","fold","PROBEID","GENENAME","UNIPROT"
"GCH1",0.216978117214317,1,"11185-145","GTP cyclohydrolase 1","P30793"
"FABP4",-0.17020930348863,1,"15386-7","fatty acid binding protein 4","E7DVW4"
"ISG15",0.0386281831671534,1,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"MCF2L",-0.400054968295619,2,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"GCH1",0.355141113319859,2,"11185-145","GTP cyclohydrolase 1","P30793"
"GNLY",0.292614487399115,2,"14102-6","granulysin","B4E3H9"
"GCH1",0.281024329698163,3,"11185-145","GTP cyclohydrolase 1","P30793"
"GNLY",0.259140865795736,3,"14102-6","granulysin","B4E3H9"
"GHRL",-0.244084471030662,3,"23581-131","ghrelin and obestatin prepropeptide","Q9UBU3"
"GCH1",0.269865766230792,4,"11185-145","GTP cyclohydrolase 1","P30793"
"GNLY",0.165608803270229,4,"14102-6","granulysin","B4E3H9"
"TLL1",-0.146089249591018,4,"6383-90","tolloid like 1","O43897"
"MCF2L",-0.252892046254936,5,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"QPCTL",-0.251115924513503,5,"8866-53","glutaminyl-peptide cyclotransferase like","Q9NXS2"
"GCH1",0.230971765727245,5,"11185-145","GTP cyclohydrolase 1","P30793"
