"protein","coef","fold"
"seq_10439_57",-0.108836485492212,1
"seq_11185_145",0.463521627774203,1
"seq_13934_3",-0.315126427440526,1
"seq_15386_7",-0.0250487699834819,1
"seq_15516_12",0.00768349725293475,1
"seq_19563_3",0.192055546645835,1
"seq_20950_159",0.0791234181264244,1
"seq_21113_3",0.323291439972816,1
"seq_23413_38",-0.0860704104279586,1
"seq_25921_3",0.038449212941557,1
"seq_3195_50",0.0828714525747665,1
"seq_4155_3",0.0699900429708463,1
"seq_4342_10",0.0579710107844945,1
"seq_4867_15",-0.330825979123798,1
"seq_6383_90",-0.283319207434368,1
"seq_6518_85",-0.691853551560084,1
"seq_6990_44",0.0335196715679642,1
"seq_7905_30",0.0544268819584117,1
"seq_11185_145",0.152063738532226,2
"seq_3195_50",0.174224301817774,2
"seq_4867_15",-0.168564326335367,2
"seq_6383_90",-0.0220993765730752,2
"seq_9851_9",-0.151662797452259,2
"seq_11185_145",0.242229393948312,3
"seq_13934_3",-0.11940928417032,3
"seq_15386_7",-0.238094917219581,3
"seq_3195_50",0.332693698859454,3
"seq_7131_207",0.0927938611459564,3
"seq_9453_12",-0.348153434038235,3
"seq_9847_21",-0.0733512328188508,3
"seq_10439_57",-0.0306380214073617,4
"seq_11185_145",0.108911825683409,4
"seq_14148_2",0.185431976641102,4
"seq_15386_7",-0.209486823101384,4
"seq_3195_50",0.194131957490582,4
"seq_6383_90",-0.0295368234671715,4
"seq_11185_145",0.546703558715133,5
"seq_13934_3",-0.28681466285292,5
"seq_3195_50",0.092000634205683,5
"seq_6081_52",-0.0580480257353944,5
"seq_7211_2",-0.0271354084084686,5
"seq_8866_53",-0.574937863823681,5
"seq_9851_9",-0.23438451109455,5
