"PROBEID","SYMBOL","GENENAME","UNIPROT"
"10000-28","CRYBB2","crystallin beta B2","A0A0H3W5U0"
"10001-7","RAF1","Raf-1 proto-oncogene, serine/threonine kinase","A0A0S2Z559"
"10003-15","ZNF41","zinc finger protein 41","P51814"
"10006-25","ELK1","ETS transcription factor ELK1","B2R7H4"
"10008-43","GUCA1A","guanylate cyclase activator 1A","B2R9P6"
"10010-10","BECN1","beclin 1","A0A024R1X5"
"10011-65","OCRL","OCRL inositol polyphosphate-5-phosphatase","A6NKI1"
"10012-5","SPDEF","SAM pointed domain containing ETS transcription factor","O95238"
"10013-34",NA,NA,NA
"10014-31","SNAI2","snail family transcriptional repressor 2","B2R6P6"
"10015-119","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2","A0AVM9"
"10021-1",NA,NA,NA
"10022-207","POLH","DNA polymerase eta","B3KVC6"
"10023-32","VDR","vitamin D receptor","B2R5Q1"
"10024-44","HOGA1","4-hydroxy-2-oxoglutarate aldolase 1","Q86XE5"
"10025-1","DLD","dihydrolipoamide dehydrogenase","A0A024R713"
"10030-8","MUTYH","mutY DNA glycosylase","E5KP34"
"10034-16",NA,NA,NA
"10035-6","DUSP4","dual specificity phosphatase 4","B2RBU5"
"10036-201","ZHX3","zinc fingers and homeoboxes 3","A8K8Q0"
"10037-98","SIGLEC12","sialic acid binding Ig like lectin 12","Q96PQ1"
"10039-32","PNP","purine nucleoside phosphorylase","B2R8S5"
"10040-63","TP63","tumor protein p63","Q9H3D4"
"10041-3","HNF4A","hepatocyte nuclear factor 4 alpha","A5JW41"
"10042-8","SGK3","serum/glucocorticoid regulated kinase family member 3","A8K5W3"
"10043-31","BRD4","bromodomain containing 4","O60433"
"10044-12","WNT10A","Wnt family member 10A","A0A2H4GYZ1"
"10045-47","CUL3","cullin 3","B7Z600"
"10046-55","BIRC2","baculoviral IAP repeat containing 2","B2R8N8"
"10047-12","NCF2","neutrophil cytosolic factor 2","A0A0S2Z457"
"10048-7","CBFB","core-binding factor subunit beta","A8K347"
"10049-112","TERF1","telomeric repeat binding factor 1","A0A7I2YQE7"
"10053-5","ILK","integrin linked kinase","A0A0A0MTH3"
"10054-3","GAN","gigaxonin","A0A0S2Z4W2"
"10056-5","FOXM1","forkhead box M1","A0A0D9SFF0"
"10058-1","RAD23A","RAD23 homolog A, nucleotide excision repair protein","A8K1J3"
"10063-10","FANCL","FA complementation group L","A0A8Q3WMD8"
"10064-12","RBBP9","RB binding protein 9, serine hydrolase","D3DW31"
"10069-2","PIN1","peptidylprolyl cis/trans isomerase, NIMA-interacting 1","A8K4V9"
"10070-22","PLCG2","phospholipase C gamma 2","A0A8V8TMG4"
"10073-22","TDP1","tyrosyl-DNA phosphodiesterase 1","B2RDI0"
"10074-128","BRD2","bromodomain containing 2","A2AAU0"
"10075-75","ACBD6","acyl-CoA binding domain containing 6","B2RAA8"
"10076-1","AP4M1","adaptor related protein complex 4 subunit mu 1","A0AAQ5BGV5"
"10078-5","BAG3","BAG cochaperone 3","A8K5L8"
"10080-9","EIF2B1","eukaryotic translation initiation factor 2B subunit alpha","A6NLY9"
"10081-17","SATB2","SATB homeobox 2","A8K5Z8"
"10082-251","NEFL","neurofilament light chain","B3KQI5"
"10085-25","STAR","steroidogenic acute regulatory protein","P49675"
"10086-39","CBS","cystathionine beta-synthase","B2R993"
"10087-10","CRYAA","crystallin alpha A","A0A140G945"
"10088-37","APRT","adenine phosphoribosyltransferase","G5E9J2"
"10089-7","ASMTL","acetylserotonin O-methyltransferase like","B4DRF1"
"10336-3","STUB1","STIP1 homology and U-box containing protein 1","Q9UNE7"
"10339-48","ENO2","enolase 2","A8K3B0"
"10342-55","PIAS4","protein inhibitor of activated STAT 4","B3KMR4"
"10344-334","IL10RA","interleukin 10 receptor subunit alpha","A8K6I0"
"10346-5","STAT3","signal transducer and activator of transcription 3","A8K7B8"
"10351-51","IRF1","interferon regulatory factor 1","X5D3F6"
"10354-57","STAT3","signal transducer and activator of transcription 3","A8K7B8"
"10356-21","JUN","Jun proto-oncogene, AP-1 transcription factor subunit","P05412"
"10361-25","OAS1","2'-5'-oligoadenylate synthetase 1","S4R3A5"
