"protein","coef","fold","PROBEID","GENENAME","UNIPROT"
"ALDH3B1",-0.17517407080789,2,"12940-35","aldehyde dehydrogenase 3 family member B1","A3FMP9"
"AMY2B",-0.0291563615107543,1,"10439-57","amylase alpha 2B","B3KTI1"
"ANGPT1",-0.0112664528765191,4,"2811-27","angiopoietin 1","B4E3G9"
"CUZD1",-0.00885601560506978,5,"7943-16","CUB and zona pellucida like domains 1","A8K080"
"FABP4",-0.21059218152411,1,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.172999721357295,3,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.140377036007793,2,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.277367706673247,5,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.130937930894549,4,"15386-7","fatty acid binding protein 4","E7DVW4"
"GCH1",0.327449520429947,1,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.425045796799448,5,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.226678255590617,4,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.364698274293943,2,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.333489829029508,3,"11185-145","GTP cyclohydrolase 1","P30793"
"GHRL",-0.0963150416054749,5,"23581-131","ghrelin and obestatin prepropeptide","Q9UBU3"
"GHRL",-0.483048687782871,3,"23581-131","ghrelin and obestatin prepropeptide","Q9UBU3"
"GNLY",0.30596500800913,2,"14102-6","granulysin","B4E3H9"
"GNLY",0.13719834581617,5,"14102-6","granulysin","B4E3H9"
"GNLY",0.289413074785486,3,"14102-6","granulysin","B4E3H9"
"GNLY",0.0986378353429219,1,"14102-6","granulysin","B4E3H9"
"GNLY",0.144369309228802,4,"14102-6","granulysin","B4E3H9"
"HGD",-0.014997657980405,4,"9832-33","homogentisate 1,2-dioxygenase","A8K417"
"INHA",0.151543931773418,2,"25921-3","inhibin subunit alpha","A8K8H5"
"ISG15",0.00931378394304339,1,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"ISG15",0.127401943384198,4,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"ISG15",0.0570008818790614,2,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"MCF2L",-0.118942084197949,3,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"MCF2L",-0.538495898415865,5,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"MCF2L",-0.185505859174489,1,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"MCF2L",-0.428769790579382,2,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"MCF2L",-0.00852747007212433,4,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"NT5E",-0.113438330810289,5,"15452-5","5'-nucleotidase ecto","B2RBH2"
"PCOLCE2",-0.00394957088395748,5,"6081-52","procollagen C-endopeptidase enhancer 2","B2RCH9"
"PTPN1",0.0115416989352426,4,"3005-5","protein tyrosine phosphatase non-receptor type 1","B4DSN5"
"QPCTL",-0.0699910118516011,3,"8866-53","glutaminyl-peptide cyclotransferase like","Q9NXS2"
"QPCTL",-0.489451604967672,5,"8866-53","glutaminyl-peptide cyclotransferase like","Q9NXS2"
"SCPEP1",-0.0495281632514237,4,"23203-3","serine carboxypeptidase 1","B4DP22"
"SEMA7A",0.0894942816095082,5,"7019-13","semaphorin 7A (JohnMiltonHagen blood group)","A0A7S9FTL9"
"SPOCK3",-0.0379200227599061,2,"9906-21","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3","B4DFW5"
"TGIF2",-0.0720921519994793,3,"9847-21","TGFB induced factor homeobox 2","B2R9U3"
"TIFA",0.0807100854327946,2,"21113-3","TRAF interacting protein with forkhead associated domain","Q96CG3"
"TLL1",-0.0200115089636405,1,"6383-90","tolloid like 1","O43897"
"TLL1",-0.140636405703072,4,"6383-90","tolloid like 1","O43897"
"TLL1",-0.071230899144969,3,"6383-90","tolloid like 1","O43897"
"TLL1",-0.0546171464577449,5,"6383-90","tolloid like 1","O43897"
"TMED10",-0.0237929663561617,5,"6506-54","transmembrane p24 trafficking protein 10","A0A024R6I3"
